10???: 30 ??? addis?????? ababa ; ?? ??? ? ??? ????	neutral
?????? ???? ??? ?????? ????	neutral
??? ?????	positive
?? ???? ???????? ?????? ??? ?? ???? ?? ????? ??	positive
?? ?? ?? ????? ?????	positive
??? ?????	positive
??? ?? ??? ??? ????? ?? ???? ????? ?? ?? ?? ???? ???? ?????	negative
????? 150 ???? ???? ??? (?????) ???? ???? ???? ??? ????? ????? ??? ??? ????? ??? ????? ??? ????	negative
???? ?????? ???? ???? ???? ??? ?? ???? ??? ??? ????? ????? ?? ????? ???? ?? ??? ????? ???? ??! !!!	negative
??? ?? ??? ??? ???? ????? ?????? ??? ?????? ??? ???? ??? ????? ?????? ??? ?????? ??? ?? ??????	negative
???? ????? ????? ????? ?? ?? ???? ???	strongNegative
??? ???? ???? ?? ??? ???? ??	strongNegative
?? ??? ????? ??? ????????? ?????? ???	strongPositive
??! ??? ??? ???? ??? ???? ?? ???? ?? ??? ????	strongPositive
??? ??? ????? ???? ?????? ??? ?? ???????	strongPositive
??? ????	strongPositive
???? 	strongPositive
????? ????? 3 ??? 5 ???? ?? ????? ???? ???? ??? ???? ?????? ???????? ????? ???? ??? ???? ??????? ???? ?? 10? 2011 (??.?.?) ????? ????? ????? ?/? ???? ???? ??? ???? ?????? ?????? ????? ?? ????? ????? ???? ??????? ????? ???? ????? ????? ????? ???????? ????? ???? ??? ????? ????????? ????? ???? ?? ???? ??? 3 ??? 5 ???? ?? ????? ???? ???? ??? ???? ??? ???????????? ?? ????? ????? ?/? ???? ??? ?????? ??????? ????? ????? ????? ????? ??????? ???????? ?? ???? ??????? ??????? ???? ?????? ?????? ????? ????? ???? ????? ???? ????? ????? ????? ??? ????? ?? ????????? ?? ????? ???? ???????? ?? ??? ????? ????? ???? ??????? ????? ??? ???? ???? ?????? ????? ????? ????? ???? ?????? ???????????? ???? ?? ???? ??? “????? ????? ????? ??? ?????? ???? ??? ?????? ?? ???? ??????? ?????? ??? ????? ??????? ?????? ????” ?????	positive
?? ????? ??? ????? ????? ??? ??? ????? ?? ????? ??? ??? ?? ????? ??????	positive
?? ???? ?? ?? ??????? ?? ????? ???? ??? ????.. .???? ?? ?? ?????.. ...???? ???? ?? ???? ??? ??????? ?? ?????? ??? ?? ?? ??? ??????? ???? ??? ??? ?? ??????	positive
??! ??? ??? ???? ??? ???? ?? ???? ?? ??? ????	positive
??? ????? ?? ??????	negative
?? ?? ???????? 3.5???? ????? ?? ???????? ???? ?? ?? ?? 	negative
???? ??? ?? ??? ????? ??? ??? ??? ???? ??? ??????? ??? ????? ??? ???? ?? ???? ????? ?????? ?????? ??????? ???? ??? ??????? ?????	positive
?? ?? ??? ?? ????	positive
??? ?????? ??	positive
?????? ????? ????? ??? ??? ??? ???? ??? ????? ???? ???? ???? ??? ??? ???? ??? ???? ?? ????? ?????? ??? ??? ????? ?? ????? ??????? ??? ????? ?? ????? ?????? ???? ????? ????????? ???? ?????? ???? ??? ????? ??? ???? ???? ??? ??? ??? ???? ???? ???? ?? ????? ???? ?????? ???? ????? ?? ??? ???? ??? ??????? ??? ??? ???? ??? ?? ???	positive
??????? ?????	positive
???? ?? ????	positive
????? ???? ????? ??? ????? ?????? 140 ????? ????? ?? ??????? ????? ??? ??? ???? ????? ???? ???? ?? ???? ???? ???? ???? ?????? 140 ????? ????? ?? ?????? ????? ??? ???? ?? ???? ???? ?????????????? ???? ???? ????? ??? ???? ???? ?????? ????? ????? ??? ??? ??? ??? ??? ????? ???? ??? ?????? ?????? ???? ?????? ???????????? ????? ??? ??? ?????? ???? ???? ?????? ?????? ????? ???? ?????? ????? ?????? ??? ????? ?????? ?????? ??? ???? ???? ?????? ????? ?????? ???? ????? ?? ???? ?? ??????????? ??? ????? ??????? ????? ???? ???? ??? ??????? ????? ???? ??????? ???? ????? ???????	negative
?? ??? ?? ?? ???? ??? ???? ?? ???? ????? ?? ?????? ???? ?????? ?????	negative
??? ???? ???? ??? ???? ?????? ??? ???	negative
???? ??? ?? ??? ?? ?? ?????? ???? ??? ??? ?????? ???? ??? ????? ??? ?????? ????? ?? ??????? ?????? ??? ???? ??? ??? ?? ???? ???? ???? ??? ????? ??? ????? ??? ????? ??? ????? ??? ???? ????? ? ?? ????? ???? ??? ??? ??? ???? ??????????? ??? ???? ???????? ??? ??? ???? ?????? ?? ???? ?????? ?? ??? ???? ????? ???? ??? ???? ?????? ??????	negative
??? ????? ????	positive
????? ??? ??????????? ??? ??? ??? ????????	positive
?????? ??? ???? ????? ???? ???? ?? ???????? ?????? ??????? ????? ???? ???? ??? ????? ?????? ????? ??? ?????	positive
???? ??/? ??? ??? ?/ ???? ?? ?? ??? _???? ??? ??? ?????? ??????? ??? ??? ?? ????? ????? ????? ????? ?? ????? ???? ??? ??? ???? ????? ??	negative
?? ?? ??? ?? ????? ?? ????? ??? ????? ???? ?? ?? ????????	negative
????? ??? ??? ???? ????? ???? ?? ????? ??? ??? ???? ???? ???? ???? ?? ????? ? ??? ???? ??? ????? ??? ???? ?? ????	negative
???? ????? ?/? ??? ???? ???? ?? ????? ???? ?? 12? 2011 (??.?.?) ????? ???? ????? ???? ??? ???? ???? ??? ???? ?? ??? ?????????? ????? ???? ??? ???? ????? ????? ?? ???? ?? ????? ?????? ?????? ???? ????? ????? ??? ?? ????????? ????? ???? ??? ???? ?? ??? ????? ?????? ?????? ???? ??? ????? ????????? ????? ????? ???? ?? ??????????? ????? ???? ??? ???? ??? ????? ????? ???? ????? ??? ??? ?? ?????? ??????? ????????? ?????? ???? ??? ??? ???? ???? ?? ??? ?????? ?????? ????? ??? ???????? ???? ?? ???????????? ???? ????? ??? ??? ?2011 ?.? ????? ?????? ?????? ??? ???? ????? ???? ??? ???? ????? ?????? ?????? ??????	positive
?? ??? ?? ?? ?? ??? ??????? ?? ?????? ?? 	negative
??? ?? ??? ????? ?? ?? ?? ??? ?????? ?? ?????? ????? ?? ????? ???? ?? ??? ??? ????? ?????  ??? ????? ?????? ??? ???? ?? ???? ?????? ???? ?? ???? ??? ??? ?????? ?? ??? ?? ???? ??? ???? ?? ?? ??? ??? ??????????? ??? ??? ??? ?????? ????? ??? ?? ???? ?????? ?? ??? ??? ?? ????? ????? ??? ???? ?? ??? ??? ?????? ?? ?/? ??? ?????100 ??? ??? ?? ???? ??	strongPositive
??? ?? ??? ???????	positive
??? ??? ????? ???? ?????? ??? ?? ???????	strongPositive
??? ??? ????? ???? ?????? ??? ?? ???????.	strongPositive
??? ???? ?? ??????? ?? ? ?????	positive
??? ???? ??? ??? 9 ?? ?? ???? ????? ????! ?? ???? ????? ?? ?? ??? ?? ??? ????? ?????? ???? ???? ??? ?? ??? ??? ?????? ??? ??????	positive
???? ??? ??? ??? & TPLF ??:: ??? ????? ??? ?????:: ?? ? ?? ???? ?? ??? ???	positive
?????? ??? ??? ???? ??? ????? ?? ?? ???? ?? ????? ????? ???????????? ????? ????? ??	positive
??????? ??????? ???? ???? ???? ?? ??? ?? ??? !!!!	strongPositive
???? ???? ??????? ?/? ??? ???? ???? ?? ????? ?? ??? ??? ?? ???? ?? ???? ??? ?? ????? ?? ??????? ??????	positive
???? ???? ????? ??? ???????? ????? ???? ????? ??? ??? ??? ?????? ?????? ??????? ???? ??? ????? ??? ???? ????? ?????? ????? ??? ???? ??? ????? ??? ??? ??? ? ?? ???????? ???? ??? ??? ??? ???????	positive
??? ??? ?????! ?? ???? ??? ??? ??????? ???? ??? ??? ??? ??? ?????????	negative
