,texts,labels
0,ታከለ ኡማ ህወሀትም መለስም በረከት ስምኦንም እነ ስየ አብርሀም እንዲሁ እንዳንተ ኢትዮጵያዊነትን ሊይፈርሱ ሞክረዋል አልቻሉም ዛሬም የት እንዳሉ ልብ በል በምትሰራው ተንኮል ያንተም እጣ ከዚሁ እንደማያልፍ እወቅ,negative
1,የኢትዮጵያ የንፁሀን ኢትዮጵያውያን እምባ ይፋረድሀል ቀንህን ጠብቅ,negative
2,ምን አል ይህችን ሰይጣን ባታሳዮን,negative
3,ሙስሊም ለራሱ የሚወደውን እና የሚጠላውን   ለሌላው የሚወድና የሚጠላ    የእዝነትና የፍቅር ሀይማኖት ነው ,positive
4,እምነት በሰዎች አይለካም,positive
5,እስከዛሬ አገር የሚዘርፉት ህዝብ የሚገሉት   ሰዎች እንጂ እምነቶች አይደሉም,positive
6,ማንኛውም እምነት ግደል   የሰውን ልጅ አሰቃይ   በስልጣንህ ባልግ ወሰን እለፍ አይልም ,positive
7,ወሰን አላፊዎች የሰይጣን ጓደኞች ናቸው,positive
8,ስንተዋወቅ አንተናነቅ,neutral
9,እሱስ ጉቦ በልተው መብራትና ውሀ እነዲገባ ግብር ብለው የተቀበሉና የበሉትስ ሞት አያስፈርድባቸውም እምየ ቻይና ብትሆን ሸኝታልኝ ነበር,negative
10,ደግሞ አፍ አለኝ ብላ ወሬዋን ቀጥላበታለች   አንድ በሏት     ሁሉም አልፎ  ትዝብት ብቻ ይቀራል,negative
11,አንቺን ነበር አስገብቶ መግረፍ ቀንሽን ጠብቂ,negative
12,ልክ ብላለች ወርኛ ሁላ,negative
13,ስው እንደ ስው ይቸገር አይባልም ግን እንዲህ ማካበድ አግባብ አይደለም እስኪ እንደስው አስብ ቸገረኝ እርድኝ አለለቻችሁ ,positive
14,ጥሩ ነገር ነው እስማማለሁኝ,positive
15,ካርታው ይጣፍጣል ፁሁፉን ግን ማንበበ አልፈልግም,neutral
16,አቶ ለማ ይህን ያደርጋሉ  ብዬ  አላሰብኩም በዘዴ አንዱን ጠቅሞ ሌላውን መጉዳት ያማል እውነት ከሆነ  ግብር  የምንከፍለው  የአ/ አ በጀት ለዝህ አግላይ ተግባር እንዳይውል ተጣማሪ  ፓርትዎች ጥንቃቄ ማድረግ  አለባቸው ,positive
17,ሌላ ውሸት የለህም  ጨምርበት ,negative
18,ወሬ,negative
19,ደሮ ድሮ ጥሩ የመረጃ ምንጭ ነበር  አሁን ግን የወረደ የዘቀጠ እየሆነ ስለመጣ ሁሉም ተከታይ ይመሰክራል,negative
20,አዎ ስደተኛ ነው,neutral
21,ልክ ነው ከማዳስካር ነው የመጣው,neutral
22,አያቶችሽ ከየት ነው የመጡት ብለህ ጠይቅልኝ,neutral
23,መድረሻ ቢስ መንደርተኛ,negative
24,ባንዳ ስለሆነች ነው,negative
